Corpus,Distance,Angle_Deg,Sample_ID,Condition,SNR_dB,Noise_Power,Observation_Path,RIR_Path,BCI_Obs_Repeats,BCI_L,BCI_Rho,MINT_Reg,Method,Method_Label,PESQ_Status,PESQ,DNSMOS_P808_Status,Case_Index,Case_Dir,Case_Seed,WeakRef_Projection_SDR_dB,WeakRef_SNR_dB,WeakRef_Alignment_Lag,Runtime_sec,RIR_NPM_dB,RIR_BestNPM_dB,RIR_NPM_aligned_dB,RIR_NPM_alignment_lag,BCI_Estimation_Runtime_sec,MINT_Runtime_sec,BCI_Input_Samples,BCI_Update_Blocks,mint_residual_l2,mint_residual_linf,mint_filter_acond,mint_iterations,Source_Case_Dir,Copied_As_Repeat_Independent_Baseline
thchs,1m,90,11,snr5,5.0,2.391528468631273e-06,floor4_room_data/original_10s_wav/1m_deg90_11.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,5,2048,0.1,0.1,GWPE_K50_d2_i2,GWPE,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,26,floor4_real_recording_repeat_table_L2048_rho01_thchs_noisy_snr5_10_repeat5_25_wpe50/thchs/sample_11/deg90/snr5/repeats_5,13936,7.417390938060844,-26.107307620886008,0,14.529690276831388,,,,,,,,,,,,,floor4_real_recording_repeat_table_L2048_rho01_thchs_noisy_snr5_10_repeat5_25_wpe50/thchs/sample_11/deg90/snr5/repeats_5,True
thchs,1m,90,11,snr5,5.0,2.391528468631273e-06,floor4_room_data/original_10s_wav/1m_deg90_11.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,5,2048,0.1,0.1,WPE,WPE,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,26,floor4_real_recording_repeat_table_L2048_rho01_thchs_noisy_snr5_10_repeat5_25_wpe50/thchs/sample_11/deg90/snr5/repeats_5,13936,10.86930537630009,-28.46569830339503,0,33.708171943202615,,,,,,,,,,,,,floor4_real_recording_repeat_table_L2048_rho01_thchs_noisy_snr5_10_repeat5_25_wpe50/thchs/sample_11/deg90/snr5/repeats_5,True
