Corpus,Distance,Angle_Deg,Sample_ID,Condition,SNR_dB,Noise_Power,Observation_Path,RIR_Path,BCI_Obs_Repeats,BCI_L,BCI_Rho,MINT_Reg,Method,Method_Label,PESQ_Status,PESQ,DNSMOS_P808_Status,Case_Index,Case_Dir,Case_Seed,WeakRef_Projection_SDR_dB,WeakRef_SNR_dB,WeakRef_Alignment_Lag,Runtime_sec,RIR_NPM_dB,RIR_BestNPM_dB,RIR_NPM_aligned_dB,RIR_NPM_alignment_lag,BCI_Estimation_Runtime_sec,MINT_Runtime_sec,BCI_Input_Samples,BCI_Update_Blocks,mint_residual_l2,mint_residual_linf,mint_filter_acond,mint_iterations,Source_Case_Dir,Copied_As_Repeat_Independent_Baseline
thchs,1m,90,12,snr10,10.0,1.432065098779276e-06,floor4_room_data/original_10s_wav/1m_deg90_12.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,5,2048,0.1,0.1,GWPE_K50_d2_i2,GWPE,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,37,floor4_real_recording_repeat_table_L2048_rho01_thchs_noisy_snr5_10_repeat5_25_wpe50/thchs/sample_12/deg90/snr10/repeats_5,14941,7.339230582228444,-23.27370044862752,0,14.53307822253555,,,,,,,,,,,,,floor4_real_recording_repeat_table_L2048_rho01_thchs_noisy_snr5_10_repeat5_25_wpe50/thchs/sample_12/deg90/snr10/repeats_5,True
thchs,1m,90,12,snr10,10.0,1.432065098779276e-06,floor4_room_data/original_10s_wav/1m_deg90_12.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,5,2048,0.1,0.1,WPE,WPE,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,37,floor4_real_recording_repeat_table_L2048_rho01_thchs_noisy_snr5_10_repeat5_25_wpe50/thchs/sample_12/deg90/snr10/repeats_5,14941,11.546571051816157,-25.934570898019267,0,33.799462819471955,,,,,,,,,,,,,floor4_real_recording_repeat_table_L2048_rho01_thchs_noisy_snr5_10_repeat5_25_wpe50/thchs/sample_12/deg90/snr10/repeats_5,True
