Corpus,Distance,Angle_Deg,Sample_ID,Condition,SNR_dB,Noise_Power,Observation_Path,RIR_Path,BCI_Obs_Repeats,BCI_L,BCI_Rho,MINT_Reg,Method,Method_Label,PESQ_Status,PESQ,DNSMOS_P808_Status,Case_Index,Case_Dir,Case_Seed,Saved_Audio,WeakRef_Projection_SDR_dB,WeakRef_SNR_dB,WeakRef_Alignment_Lag,RIR_NPM_dB,RIR_BestNPM_dB,RIR_NPM_aligned_dB,RIR_NPM_alignment_lag,Runtime_sec,BCI_Estimation_Runtime_sec,MINT_Runtime_sec,BCI_Input_Samples,BCI_Update_Blocks,RMS_Scale_Reference,RMS_Scale_Factor,RMS_Before_Scale,Reference_RMS,mint_residual_l2,mint_residual_linf,mint_filter_acond,mint_iterations,Supplement_Runtime_sec,Repeat_Independent_Baseline,Computed_From_Repeat,Computed_From_Case_Dir
timit,2m,90,8,snr5,5.0,1.9509902380845487e-06,floor4_room_data/original_10s_wav/2m_deg90_8.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,15,2048,0.1,0.1,BCI_ELp_p=1.0,MINT-E$\ell_p$,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,140.0,floor4_real_recording_repeat_table_L2048_rho01_timit_2m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/2m/reg0p1/timit/sample_8/deg90/snr5/repeats_15,10946.0,raw_only,-10.468190997969463,-1.7594799449378526,-3,-0.0054083754773278,-0.2953426312576724,-0.0054083754773278,0.0,189.4810900092125,102.83157331123948,23.183377616107464,2400000.0,1170.0,noisy_observation,0.7649974659727973,0.0037232574496202,0.0028482825141238,,,,,,,,
timit,2m,90,8,snr5,5.0,1.9509902380845487e-06,floor4_room_data/original_10s_wav/2m_deg90_8.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,15,2048,0.1,0.1,BCI_Lp_p=1.0,MINT-$\ell_p$,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,140.0,floor4_real_recording_repeat_table_L2048_rho01_timit_2m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/2m/reg0p1/timit/sample_8/deg90/snr5/repeats_15,10946.0,raw_only,-7.763356246884893,-1.1635449794582016,0,-0.0036442245569992,-0.579447001055896,-0.0036442245569992,0.0,189.4810900092125,102.83157331123948,22.858781708404425,2400000.0,1170.0,noisy_observation,0.7972371546690851,0.0035726916356602,0.0028482825141238,,,,,,,,
timit,2m,90,8,snr5,5.0,1.9509902380845487e-06,floor4_room_data/original_10s_wav/2m_deg90_8.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,15,2048,0.1,0.1,BCI_NMCFLMS,MINT-N,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,140.0,floor4_real_recording_repeat_table_L2048_rho01_timit_2m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/2m/reg0p1/timit/sample_8/deg90/snr5/repeats_15,10946.0,raw_only,-10.7949688136494,-4.288560535807721,4,-0.0011371478194346,-0.0032401490989531,-0.0011371478194346,0.0,189.4810900092125,102.83157331123948,19.589173771440983,2400000.0,1170.0,noisy_observation,1.0404198627122003,0.0027376279675196,0.0028482825141238,,,,,,,,
timit,2m,90,8,snr5,5.0,1.9509902380845487e-06,floor4_room_data/original_10s_wav/2m_deg90_8.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,15,2048,0.1,0.1,BCI_RNMCFLMS,MINT-R,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,140.0,floor4_real_recording_repeat_table_L2048_rho01_timit_2m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/2m/reg0p1/timit/sample_8/deg90/snr5/repeats_15,10946.0,raw_only,-1.764940210639501,1.1093499739076722,0,-0.0019016359403651,-1.1106166473759456,-0.0019016359403651,0.0,189.4810900092125,102.83157331123948,20.77211639285088,2400000.0,1170.0,noisy_observation,0.8841073353307277,0.0032216478704572,0.0028482825141238,,,,,,,,
timit,2m,90,8,snr5,5.0,,,,15,2048,0.1,0.1,GWPE_K50_d2_i2,GWPE,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,,/hpc_stor01/home/yujie.xiong_sx/RIR-dereverb+CTF/floor4_real_recording_repeat_table_L2048_rho01_timit_2m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/2m/reg0p1/timit/sample_8/deg90/snr5/repeats_15,,,5.819158220149231,6.324694827454881,0,,,,,10.5279166920227,,,,,noisy_observation,0.106324241103383,0.026801914407422356,0.002849693209487009,,,,,41.81169998599216,True,1.0,/hpc_stor01/home/yujie.xiong_sx/RIR-dereverb+CTF/floor4_real_recording_repeat_table_L2048_rho01_timit_2m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/2m/reg0p1/timit/sample_8/deg90/snr5/repeats_1
timit,2m,90,8,snr5,5.0,1.9509902380845487e-06,floor4_room_data/original_10s_wav/2m_deg90_8.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,15,2048,0.1,0.1,Oracle_MINT,MINT-Reference,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,140.0,floor4_real_recording_repeat_table_L2048_rho01_timit_2m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/2m/reg0p1/timit/sample_8/deg90/snr5/repeats_15,10946.0,raw_only,-12.083630593986625,-4.165480469845958,-17,,,,,26.29117364436388,,26.29117364436388,,,noisy_observation,1.077547146281168,0.002643301988181,0.0028482825141238,0.1049883709971856,0.0318983318472998,724.9683588930244,201.0,,,,
timit,2m,90,8,snr5,5.0,1.9509902380845487e-06,floor4_room_data/original_10s_wav/2m_deg90_8.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,15,2048,0.1,0.1,Unprocessed_ch1,Unprocessed,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,140.0,floor4_real_recording_repeat_table_L2048_rho01_timit_2m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/2m/reg0p1/timit/sample_8/deg90/snr5/repeats_15,10946.0,raw_only,100.0,200.7104423331241,0,,,,,,,,,,,,,,,,,,,,,
timit,2m,90,8,snr5,5.0,1.9509902380845487e-06,floor4_room_data/original_10s_wav/2m_deg90_8.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,15,2048,0.1,0.1,Unprocessed_ch2,Unprocessed,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,140.0,floor4_real_recording_repeat_table_L2048_rho01_timit_2m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/2m/reg0p1/timit/sample_8/deg90/snr5/repeats_15,10946.0,raw_only,-3.335203498977959,0.276570070966659,0,,,,,,,,,,,,,,,,,,,,,
timit,2m,90,8,snr5,5.0,1.9509902380845487e-06,floor4_room_data/original_10s_wav/2m_deg90_8.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,15,2048,0.1,0.1,Unprocessed_ch3,Unprocessed,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,140.0,floor4_real_recording_repeat_table_L2048_rho01_timit_2m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/2m/reg0p1/timit/sample_8/deg90/snr5/repeats_15,10946.0,raw_only,-3.7302768030832794,0.0395077966237343,0,,,,,,,,,,,,,,,,,,,,,
timit,2m,90,8,snr5,5.0,1.9509902380845487e-06,floor4_room_data/original_10s_wav/2m_deg90_8.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,15,2048,0.1,0.1,Unprocessed_ch4,Unprocessed,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,140.0,floor4_real_recording_repeat_table_L2048_rho01_timit_2m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/2m/reg0p1/timit/sample_8/deg90/snr5/repeats_15,10946.0,raw_only,-4.152904028963787,0.0327833225024231,0,,,,,,,,,,,,,,,,,,,,,
