Corpus,Distance,Angle_Deg,Sample_ID,Condition,Observation_Path,RIR_Path,BCI_Obs_Repeats,BCI_L,BCI_Rho,MINT_Reg,Method,Method_Label,PESQ_Status,PESQ,DNSMOS_P808_Status,Case_Index,Case_Dir,WeakRef_Projection_SDR_dB,WeakRef_SNR_dB,WeakRef_Alignment_Lag,RIR_NPM_dB,RIR_BestNPM_dB,RIR_NPM_aligned_dB,RIR_NPM_alignment_lag,Runtime_sec,BCI_Estimation_Runtime_sec,MINT_Runtime_sec,BCI_Input_Samples,BCI_Update_Blocks,RMS_Scale_Reference,RMS_Scale_Factor,RMS_Before_Scale,Reference_RMS,mint_residual_l2,mint_residual_linf,mint_filter_acond,mint_iterations
thchs,1m,90,12,clean,floor4_room_data/original_10s_wav/1m_deg90_12.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,6,2048,0.1,0.05,BCI_ELp_p=1.0,MINT-E$\ell_p$,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,12,floor4_real_recording_repeat_table_rho01_reg0p05_deg90_thchs_clean_L2048_repeats_1_10_rmsraw/L2048/repeat_6/thchs/sample_12/deg90/clean/repeats_6,4.452686492221531,4.757209621210961,-2,-0.0013232971241602086,-2.566202733101575,-0.0013232971241602086,0.0,67.37984811514616,32.69367761723697,8.552760425023735,960000.0,467.0,clean_observation,0.6025034894151713,0.006280899058054354,0.003784263599142211,,,,
thchs,1m,90,12,clean,floor4_room_data/original_10s_wav/1m_deg90_12.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,6,2048,0.1,0.05,BCI_Lp_p=1.0,MINT-$\ell_p$,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,12,floor4_real_recording_repeat_table_rho01_reg0p05_deg90_thchs_clean_L2048_repeats_1_10_rmsraw/L2048/repeat_6/thchs/sample_12/deg90/clean/repeats_6,4.452686492221528,4.75720962121096,-2,-0.001323297124159726,-2.566202733101575,-0.001323297124159726,0.0,67.37984811514616,32.69367761723697,8.556236944161355,960000.0,467.0,clean_observation,0.6025034894151722,0.006280899058054345,0.003784263599142211,,,,
thchs,1m,90,12,clean,floor4_room_data/original_10s_wav/1m_deg90_12.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,6,2048,0.1,0.05,BCI_NMCFLMS,MINT-N,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,12,floor4_real_recording_repeat_table_rho01_reg0p05_deg90_thchs_clean_L2048_repeats_1_10_rmsraw/L2048/repeat_6/thchs/sample_12/deg90/clean/repeats_6,4.429706967267188,4.739596606091863,-2,-0.0018267539481381836,-2.705181206896369,-0.0018267539481381836,0.0,67.37984811514616,32.69367761723697,8.846363930031657,960000.0,467.0,clean_observation,0.6117875122592357,0.0061855849021296904,0.003784263599142211,,,,
thchs,1m,90,12,clean,floor4_room_data/original_10s_wav/1m_deg90_12.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,6,2048,0.1,0.05,BCI_RNMCFLMS,MINT-R,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,12,floor4_real_recording_repeat_table_rho01_reg0p05_deg90_thchs_clean_L2048_repeats_1_10_rmsraw/L2048/repeat_6/thchs/sample_12/deg90/clean/repeats_6,4.468298273982009,4.769136887153168,-2,-0.0012123081884789148,-2.451210850115712,-0.0012123081884789148,0.0,67.37984811514616,32.69367761723697,8.524745235219598,960000.0,467.0,clean_observation,0.5973516879579356,0.006335068060289288,0.003784263599142211,,,,
thchs,1m,90,12,clean,floor4_room_data/original_10s_wav/1m_deg90_12.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,6,2048,0.1,0.05,Oracle_MINT,MINT-Reference,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,12,floor4_real_recording_repeat_table_rho01_reg0p05_deg90_thchs_clean_L2048_repeats_1_10_rmsraw/L2048/repeat_6/thchs/sample_12/deg90/clean/repeats_6,-4.786677418706363,-0.5685253337154387,-12,,,,,14.997798040509224,,14.997798040509224,,,clean_observation,1.2130667147998435,0.0031195840698395685,0.003784263599142211,0.10791155236934596,0.028801655522778802,722.4064987749324,201.0
thchs,1m,90,12,clean,floor4_room_data/original_10s_wav/1m_deg90_12.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,6,2048,0.1,0.05,Unprocessed_ch1,Unprocessed,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,12,floor4_real_recording_repeat_table_rho01_reg0p05_deg90_thchs_clean_L2048_repeats_1_10_rmsraw/L2048/repeat_6/thchs/sample_12/deg90/clean/repeats_6,100.0,202.5913012765217,0,,,,,,,,,,,,,,,,,
thchs,1m,90,12,clean,floor4_room_data/original_10s_wav/1m_deg90_12.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,6,2048,0.1,0.05,Unprocessed_ch2,Unprocessed,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,12,floor4_real_recording_repeat_table_rho01_reg0p05_deg90_thchs_clean_L2048_repeats_1_10_rmsraw/L2048/repeat_6/thchs/sample_12/deg90/clean/repeats_6,1.6220413987119229,2.189621446744794,-1,,,,,,,,,,,,,,,,,
thchs,1m,90,12,clean,floor4_room_data/original_10s_wav/1m_deg90_12.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,6,2048,0.1,0.05,Unprocessed_ch3,Unprocessed,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,12,floor4_real_recording_repeat_table_rho01_reg0p05_deg90_thchs_clean_L2048_repeats_1_10_rmsraw/L2048/repeat_6/thchs/sample_12/deg90/clean/repeats_6,1.0859245316055062,1.7518062786371824,-2,,,,,,,,,,,,,,,,,
thchs,1m,90,12,clean,floor4_room_data/original_10s_wav/1m_deg90_12.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,6,2048,0.1,0.05,Unprocessed_ch4,Unprocessed,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,12,floor4_real_recording_repeat_table_rho01_reg0p05_deg90_thchs_clean_L2048_repeats_1_10_rmsraw/L2048/repeat_6/thchs/sample_12/deg90/clean/repeats_6,2.5016968284668257,3.835435995925009,-1,,,,,,,,,,,,,,,,,
