Corpus,Distance,Angle_Deg,Sample_ID,Condition,SNR_dB,Noise_Power,Observation_Path,RIR_Path,BCI_Obs_Repeats,BCI_L,BCI_Rho,MINT_Reg,Method,Frontend,Method_Label,PESQ_Status,PESQ,DNSMOS_P808_Status,Case_Index,Case_Dir,Case_Seed,Denoise_Frame_Size,Denoise_Overlap,Denoise_Noise_Percentile,Denoise_Alpha,Denoise_Spectral_Floor,WeakRef_Projection_SDR_dB,WeakRef_SNR_dB,WeakRef_Alignment_Lag,RMS_Scale_Reference,RMS_Scale_Factor,RMS_Before_Scale,Reference_RMS,Runtime_sec,RIR_NPM_dB,RIR_BestNPM_dB,RIR_NPM_aligned_dB,RIR_NPM_alignment_lag,BCI_Estimation_Runtime_sec,MINT_Runtime_sec,BCI_Input_Samples,BCI_Update_Blocks,mint_residual_l2,mint_residual_linf,mint_filter_acond,mint_iterations
thchs,2m,90,11,snr10,10.0,6.699467758880928e-07,floor4_room_data/original_10s_wav/2m_deg90_11.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,7,2048,0.1,0.1,SpecSub_BCI_ELp_p=1.0,specsub,SS+ELp MINT,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,93,floor4_real_recording_repeat_table_L2048_rho01_2m_samples11_12_noisy_snr5_10_ss_frontend_repeats_1_20_rmsraw/reg0p1/thchs/sample_11/deg90/snr10/repeats_7,13943,512,0.5,10.0,1.2,0.02,-2.0181396230960753,0.9484398222156077,-1,noisy_observation,0.9513182524634284,0.0028536262862307597,0.0027147067718007495,110.79812839068472,-0.007810477774755494,-2.1163047606951486,-0.007810477774755494,0.0,52.82957062870264,13.731960694305599,1120000.0,545.0,,,,
thchs,2m,90,11,snr10,10.0,6.699467758880928e-07,floor4_room_data/original_10s_wav/2m_deg90_11.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,7,2048,0.1,0.1,SpecSub_BCI_Lp_p=1.0,specsub,SS+Lp MINT,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,93,floor4_real_recording_repeat_table_L2048_rho01_2m_samples11_12_noisy_snr5_10_ss_frontend_repeats_1_20_rmsraw/reg0p1/thchs/sample_11/deg90/snr10/repeats_7,13943,512,0.5,10.0,1.2,0.02,-2.02617991046887,0.9444091621871142,-1,noisy_observation,0.952053022142947,0.0028514239319258703,0.0027147067718007495,110.79812839068472,-0.007795716890942004,-2.1253761077223836,-0.007795716890942004,0.0,52.82957062870264,13.808313929475844,1120000.0,545.0,,,,
thchs,2m,90,11,snr10,10.0,6.699467758880928e-07,floor4_room_data/original_10s_wav/2m_deg90_11.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,7,2048,0.1,0.1,SpecSub_BCI_NMCFLMS,specsub,SS+NMCFLMS MINT,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,93,floor4_real_recording_repeat_table_L2048_rho01_2m_samples11_12_noisy_snr5_10_ss_frontend_repeats_1_20_rmsraw/reg0p1/thchs/sample_11/deg90/snr10/repeats_7,13943,512,0.5,10.0,1.2,0.02,-6.492305418155594,-0.835875851560659,-1,noisy_observation,0.8996742118751991,0.0030174331285348966,0.0027147067718007495,110.79812839068472,-0.007735735999454394,-0.5849063351022017,-0.007735735999454394,0.0,52.82957062870264,16.342424543574452,1120000.0,545.0,,,,
thchs,2m,90,11,snr10,10.0,6.699467758880928e-07,floor4_room_data/original_10s_wav/2m_deg90_11.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,7,2048,0.1,0.1,SpecSub_BCI_RNMCFLMS,specsub,SS+RNMCFLMS MINT,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,93,floor4_real_recording_repeat_table_L2048_rho01_2m_samples11_12_noisy_snr5_10_ss_frontend_repeats_1_20_rmsraw/reg0p1/thchs/sample_11/deg90/snr10/repeats_7,13943,512,0.5,10.0,1.2,0.02,-0.3943683831288652,1.8276214321167288,0,noisy_observation,0.9010246576960329,0.0030129106330368323,0.0027147067718007495,110.79812839068472,-0.002853223611557193,-2.428706230955998,-0.002853223611557193,0.0,52.82957062870264,13.837087262421846,1120000.0,545.0,,,,
thchs,2m,90,11,snr10,10.0,6.699467758880928e-07,floor4_room_data/original_10s_wav/2m_deg90_11.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,7,2048,0.1,0.1,SpecSub_GWPE_K50_d2_i2,specsub,SS+GWPE,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,93,floor4_real_recording_repeat_table_L2048_rho01_2m_samples11_12_noisy_snr5_10_ss_frontend_repeats_1_20_rmsraw/reg0p1/thchs/sample_11/deg90/snr10/repeats_7,13943,512,0.5,10.0,1.2,0.02,6.245175149796052,6.640711085050828,0,noisy_observation,0.036462819267391644,0.07445136789596755,0.0027147067718007495,17.14313549362123,,,,,,,,,,,,
thchs,2m,90,11,snr10,10.0,6.699467758880928e-07,floor4_room_data/original_10s_wav/2m_deg90_11.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,7,2048,0.1,0.1,SpecSub_Oracle_MINT,specsub,SS+Oracle MINT,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,93,floor4_real_recording_repeat_table_L2048_rho01_2m_samples11_12_noisy_snr5_10_ss_frontend_repeats_1_20_rmsraw/reg0p1/thchs/sample_11/deg90/snr10/repeats_7,13943,512,0.5,10.0,1.2,0.02,-9.886339327071532,-4.411287350897705,-16,noisy_observation,1.5372789150905173,0.0017659168711364934,0.0027147067718007495,20.14249586034566,,,,,,20.14249586034566,,,0.10498837099718562,0.03189833184729984,724.9683588930244,201.0
thchs,2m,90,11,snr10,10.0,6.699467758880928e-07,floor4_room_data/original_10s_wav/2m_deg90_11.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,7,2048,0.1,0.1,SpecSub_WPE,specsub,SS+WPE,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,93,floor4_real_recording_repeat_table_L2048_rho01_2m_samples11_12_noisy_snr5_10_ss_frontend_repeats_1_20_rmsraw/reg0p1/thchs/sample_11/deg90/snr10/repeats_7,13943,512,0.5,10.0,1.2,0.02,9.635343307210102,9.603050735038494,0,noisy_observation,0.029336320247421745,0.09253739899568128,0.0027147067718007495,43.90025823842734,,,,,,,,,,,,
thchs,2m,90,11,snr10,10.0,6.699467758880928e-07,floor4_room_data/original_10s_wav/2m_deg90_11.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,7,2048,0.1,0.1,SpecSub_ch1,specsub,SS ch1,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,93,floor4_real_recording_repeat_table_L2048_rho01_2m_samples11_12_noisy_snr5_10_ss_frontend_repeats_1_20_rmsraw/reg0p1/thchs/sample_11/deg90/snr10/repeats_7,13943,512,0.5,10.0,1.2,0.02,14.869565431030548,14.337824445369375,0,noisy_observation,1.219571137982054,0.0022259519656168646,0.0027147067718007495,,,,,,,,,,,,,
thchs,2m,90,11,snr10,10.0,6.699467758880928e-07,floor4_room_data/original_10s_wav/2m_deg90_11.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,7,2048,0.1,0.1,SpecSub_ch2,specsub,SS ch2,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,93,floor4_real_recording_repeat_table_L2048_rho01_2m_samples11_12_noisy_snr5_10_ss_frontend_repeats_1_20_rmsraw/reg0p1/thchs/sample_11/deg90/snr10/repeats_7,13943,512,0.5,10.0,1.2,0.02,0.0935259962714213,2.117200201987049,0,noisy_observation,1.1048081845099775,0.002457174747492317,0.0027147067718007495,,,,,,,,,,,,,
thchs,2m,90,11,snr10,10.0,6.699467758880928e-07,floor4_room_data/original_10s_wav/2m_deg90_11.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,7,2048,0.1,0.1,SpecSub_ch3,specsub,SS ch3,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,93,floor4_real_recording_repeat_table_L2048_rho01_2m_samples11_12_noisy_snr5_10_ss_frontend_repeats_1_20_rmsraw/reg0p1/thchs/sample_11/deg90/snr10/repeats_7,13943,512,0.5,10.0,1.2,0.02,-0.7274225217593699,1.6369127029876618,0,noisy_observation,1.0871332527294844,0.002497124216359759,0.0027147067718007495,,,,,,,,,,,,,
